111,Low Fat Diet,20,150,100,1200
112,High Protein Diet,30,100,200,1500
1113,Balanced Diet,40,120,150,1800
1114,Low Carb Diet,10,50,250,1300
1115,Vegan Diet,15,80,180,1400
1116,Keto Diet,25,30,300,1600
1117,Gluten-Free Diet,35,90,120,1700
1118,Mediterranean Diet,25,100,150,1600
1119,Paleo Diet,30,70,200,1500
1110,Intermittent Fasting Diet,15,60,250,1400
1111,High Fiber Diet,20,80,180,1600
1113,Whole30 Diet,30,60,200,1400
1114,DASH Diet,25,90,150,1600
1115,Atkins Diet,20,40,250,1300
1116,Flexitarian Diet,20,100,180,1600
1117,Vegetarian Diet,25,80,150,1500
1118,Pescatarian Diet,20,70,200,1600
1119,FODMAP Diet,30,60,150,1400
1120,Alkaline Diet,20,80,150,1500
1121,Raw Food Diet,15,60,200,1400
1122,South Beach Diet,25,50,180,1600
1123,Zone Diet,20,70,150,1500
1124,Low FODMAP Diet,30,60,150,1400
1125,Alkaline Diet,20,80,150,1500
1126,Vegetarian Diet,25,80,150,1500
1127,Low Glycemic Diet,25,70,150,1500
1128,Ketogenic Diet,25,30,300,1600
1129,DASH Diet,25,90,150,1600
1130,Ketogenic Diet,25,30,300,1600
1131,Low Glycemic Diet,25,70,150,1500
